Date,Temperature,pH,Yeast Activity,Fermentation Rate,Quality_Status
1/1/2023,23.99,4.43,83.92,79.93,Good
1/2/2023,21.06,4.38,43.49,93.31,Warning
1/3/2023,28.32,4.88,41.24,98.5,Bad
1/4/2023,20.12,4.77,50.91,59.17,Warning
1/5/2023,22.97,3.54,65.92,64.56,Warning
1/6/2023,17.95,4.66,57.53,68.32,Warning
1/7/2023,27.86,4.39,51.98,75.71,Warning
1/8/2023,19.82,4.56,76.45,58.53,Warning
1/9/2023,19.6,4.35,81.05,72.01,Good
1/10/2023,21.95,3.97,42.06,95.47,Warning
1/11/2023,25.29,3.89,58.7,76,Warning
1/12/2023,16.69,4.6,98.18,88.76,Warning
1/13/2023,24.95,4.59,45.31,59.8,Warning
1/14/2023,21.54,4.35,63.32,63.57,Warning
1/15/2023,20.16,5.03,56.86,77.13,Warning
1/16/2023,23.3,4.31,44.47,99.34,Warning
1/17/2023,19.29,4.81,40.33,90.77,Warning
1/18/2023,26.12,4.97,86.28,53.7,Warning
1/19/2023,18.64,4.35,91.79,81.16,Good
1/20/2023,20.08,4.41,58.66,66.26,Warning
1/21/2023,25.25,5.18,93.23,73.61,Warning
1/22/2023,23.45,4.18,85.65,78.06,Good
1/23/2023,21.86,5.28,71.36,71.38,Warning
1/24/2023,22.35,4.35,58.86,75.43,Warning
1/25/2023,21.12,4.68,64.62,87.78,Warning
1/26/2023,18.77,4.25,95.78,90.41,Good
1/27/2023,25.66,4.66,88.22,59.33,Warning
1/28/2023,22.39,4.98,88.45,94.8,Good
1/29/2023,19.19,4.34,53.68,71.36,Warning
1/30/2023,23.18,4.63,40.42,75.54,Warning
1/31/2023,16.34,4.29,47.19,66.88,Warning
2/1/2023,21.35,4.7,71.13,85.15,Good
2/2/2023,23.03,4.46,97.75,62.59,Warning
2/3/2023,14.32,4.49,57.09,51.84,Bad
2/4/2023,22.24,5.73,43.09,63.93,Bad
2/5/2023,21.23,4.65,48.69,74.47,Warning
2/6/2023,26.57,4.88,54.26,86.41,Warning
2/7/2023,27.61,3.8,78.01,76.79,Warning
2/8/2023,18.04,4.22,42.45,79.54,Warning
2/9/2023,15.8,4.53,78.71,58.72,Warning
2/10/2023,18.32,5.27,96.2,56.88,Warning
2/11/2023,18.87,4.34,95.48,93.87,Good
2/12/2023,25.25,3.88,89.03,77.76,Warning
2/13/2023,15.57,4.59,45.59,94.86,Warning
2/14/2023,23.04,4.89,60.34,67.46,Warning
2/15/2023,24.09,4.65,93.23,88.99,Warning
2/16/2023,19.28,4.62,49.7,94.93,Warning
2/17/2023,23.17,4.14,40.3,58.04,Warning
2/18/2023,29.46,4.74,79.12,61.21,Bad
2/19/2023,18.1,4.89,59.52,87.32,Warning
2/20/2023,25.85,4.71,79.46,78.42,Warning
2/21/2023,21.02,4.12,55.91,62.2,Warning
2/22/2023,21.69,4.67,93.52,81.56,Good
2/23/2023,22.05,5.23,74.61,74.63,Warning
2/24/2023,24.5,4.07,56.85,51.22,Warning
2/25/2023,17.72,4.74,96.43,97.7,Warning
2/26/2023,21.11,4.86,40.93,96.42,Warning
2/27/2023,23.89,4.46,97.82,92.65,Good
2/28/2023,18.61,3.74,91.07,65.85,Warning
3/1/2023,22.86,3.88,96.17,84.8,Warning
3/2/2023,18.46,4.58,76.9,99.5,Good
3/3/2023,22.23,3.93,92.64,87.04,Warning
3/4/2023,26.33,5.03,61.57,64.68,Warning
3/5/2023,24.06,4.76,92.02,95.66,Warning
3/6/2023,24.06,6.43,87.9,82.5,Bad
3/7/2023,25.82,4.83,93.4,66.9,Warning
3/8/2023,18.91,4.38,74.7,51.8,Warning
3/9/2023,31.26,3.57,57.19,79.54,Bad
3/10/2023,20.11,5.04,47.62,76.11,Warning
3/11/2023,19.14,4.84,77.37,54.27,Warning
3/12/2023,22.18,4.17,72.44,81.87,Good
3/13/2023,13.9,4.59,87.71,63.54,Bad
3/14/2023,18.83,4.44,41.52,98.13,Warning
3/15/2023,24.02,4.93,64.54,58.66,Warning
3/16/2023,20.1,4.17,72.95,85.73,Good
3/17/2023,16.96,4.96,97.29,86.89,Warning
3/18/2023,30.49,5.02,65.18,62.39,Bad
3/19/2023,27.07,4.15,40.86,55.8,Warning
3/20/2023,23.78,4.89,68.45,54.89,Warning
3/21/2023,9.03,3.99,50.39,71.69,Bad
3/22/2023,28.53,3.78,78.11,52.27,Bad
3/23/2023,27.77,3.78,70.19,92.82,Warning
3/24/2023,18.07,4.73,44.23,82.12,Warning
3/25/2023,22.28,4.31,96.41,78.77,Good
3/26/2023,28.34,3.88,67.5,77.28,Bad
3/27/2023,21.39,4.79,97.67,95.27,Good
3/28/2023,23.12,4.19,44.27,65.95,Warning
3/29/2023,19.64,4.92,47.09,84.84,Warning
3/30/2023,25.6,4.65,84.1,90.17,Warning
3/31/2023,18.68,4.22,85.04,90.34,Good
4/1/2023,21.92,4.56,62.32,88.82,Warning
4/2/2023,24.19,4.4,91.5,71.45,Warning
4/3/2023,25.3,4.91,46.19,95.13,Warning
4/4/2023,27.22,4.51,59.2,94.78,Warning
4/5/2023,23.3,4.43,97.04,78.67,Good
4/6/2023,18.73,5.55,57.59,66.43,Bad
4/7/2023,26.63,4.9,87.49,89.48,Warning
4/8/2023,21.95,4.05,43.45,77.48,Warning
4/9/2023,25.9,4.43,61.05,55.85,Warning
4/10/2023,23.65,4.22,77.09,55.06,Warning
4/11/2023,22.98,4.25,44.37,91.09,Warning
4/12/2023,20.12,4.62,45.09,99.33,Warning
4/13/2023,16.21,3.8,88.77,97.36,Warning
4/14/2023,19.13,4.39,86.63,77.92,Good
4/15/2023,25.43,4.42,46.67,74.63,Warning
4/16/2023,21.93,4.36,43.38,55.94,Warning
4/17/2023,23.29,4.09,84.76,79.17,Good
4/18/2023,21.56,4.7,57.14,93.43,Warning
4/19/2023,22.9,4.51,44.43,77.69,Warning
4/20/2023,22.1,4.75,77.76,84.79,Good
4/21/2023,30.61,4.12,75.06,95.06,Bad
4/22/2023,30.76,4.1,56.64,59.41,Bad
4/23/2023,13.5,4.24,75.02,53.89,Bad
4/24/2023,23.37,5.44,58.57,90.69,Warning
4/25/2023,18.41,4.75,94.66,91.13,Good
4/26/2023,16.72,5.42,95.96,93.3,Warning
4/27/2023,26.72,4.27,99.24,57.52,Warning
4/28/2023,15.15,5.18,98.19,92.11,Warning
4/29/2023,21.54,5.12,64.89,63.67,Warning
4/30/2023,22.02,4.52,86.14,97.24,Good
5/1/2023,20.2,4.81,67.03,56.46,Warning
5/2/2023,22.48,4.76,53.72,83.59,Warning
5/3/2023,15.86,5.14,46.81,83.58,Warning
5/4/2023,28.2,4.56,71.21,92.61,Bad
5/5/2023,30.24,5.38,92.6,70.17,Bad
5/6/2023,24.58,5.18,82.24,60.65,Warning
5/7/2023,26.23,3.62,63.53,71.87,Warning
5/8/2023,20.92,4.86,70.84,89.18,Good
5/9/2023,28.51,3.81,91.74,97.48,Bad
5/10/2023,15.19,4.47,67.55,99,Warning
5/11/2023,13.73,4.46,78,62.01,Bad
5/12/2023,23.47,4.03,50.91,67.28,Warning
5/13/2023,21.75,4.98,80.05,58.62,Warning
5/14/2023,19.88,4.1,50.62,54.44,Warning
5/15/2023,21.57,3.98,52.38,68.21,Warning
5/16/2023,29.86,4.52,42.36,89.97,Bad
5/17/2023,19.2,4.61,92.41,96.04,Good
5/18/2023,21.55,4.39,88.37,87.41,Good
5/19/2023,19.88,4.21,62.23,74.23,Warning
5/20/2023,15.94,5.18,67.75,87.37,Warning
5/21/2023,24.31,4.66,70.7,76.61,Warning
5/22/2023,21.49,4.02,71.96,62.12,Warning
5/23/2023,18.97,3.79,41.2,66.1,Warning
5/24/2023,19.41,3.96,47.19,94.53,Warning
